SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3725 Alemany Blvd,SAN FRANCISCO,CA,94132,949000,2,1.0,SAN FRANCISCO,1025,2034,1949,2,926,,Active,,,http://www.redfin.com/CA/San-Francisco/3725-Alemany-Blvd-94132/home/1465173,MLSListings,ML81866137,N,Y,37.7115391,-122.4657645
MLS Listing,,Multi-Family (5+ Unit),1901 Pacific Ave,San Francisco,CA,94109,2995000,0,,San Francisco,5772,2500,1900,2,519,,Active,October-12-2021 10:00 AM,October-12-2021 11:30 PM,http://www.redfin.com/CA/San-Francisco/1901-Pacific-Ave-94109/home/1135672,San Francisco MLS,421602649,N,Y,37.7942448,-122.4266843
MLS Listing,,Condo/Co-op,342 Hayes St Unit C,San Francisco,CA,94102,1375000,2,2.5,San Francisco,1013,6000,1996,2,1357,630,Active,,,http://www.redfin.com/CA/San-Francisco/342-Hayes-St-94102/unit-C/home/2018279,San Francisco MLS,421602556,N,Y,37.7772472,-122.4221849
MLS Listing,,Multi-Family (5+ Unit),300 Ocean Ave,San Francisco,CA,94112,3200000,0,,San Francisco,5286,3550,1959,2,605,,Active,,,http://www.redfin.com/CA/San-Francisco/300-Ocean-Ave-94112/home/1820393,San Francisco MLS,421602543,N,Y,37.7232178,-122.4434284
MLS Listing,,Condo/Co-op,12 Scott Aly,San Francisco,CA,94107,899000,1,1.0,San Francisco,1092,14872,1997,2,823,226,Active,October-13-2021 12:00 PM,October-13-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/12-Scott-Aly-94107/home/1597566,San Francisco MLS,421587722,N,Y,37.7805806,-122.4004665
MLS Listing,,Single Family Residential,2675 Newhall St,San Francisco,CA,94124,999888,3,2.0,San Francisco,1394,1500,,2,717,21,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2675-Newhall-St-94124/home/936834,San Francisco MLS,421602492,N,Y,37.7286858,-122.398222
MLS Listing,,Condo/Co-op,624 Natoma St Unit E,San Francisco,CA,94103,699000,1,1.0,San Francisco,946,2066,1912,2,739,250,Active,,,http://www.redfin.com/CA/San-Francisco/624-Natoma-St-94103/unit-E/home/144063843,San Francisco MLS,421602467,N,Y,37.77804,-122.4106804
MLS Listing,,Condo/Co-op,2847 Gough St,San Francisco,CA,94123,2849000,3,3.0,San Francisco,,,1947,2,,640,Active,October-12-2021 04:30 PM,October-12-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/2847-Gough-St-94123/home/1658940,San Francisco MLS,421601973,N,Y,37.7996083,-122.4278844
MLS Listing,,Condo/Co-op,330 Mission Bay Blvd #509,San Francisco,CA,94158,1095000,1,1.0,San Francisco,1057,58215,2008,2,1036,999,Active,,,http://www.redfin.com/CA/San-Francisco/330-Mission-Bay-Blvd-N-94158/unit-509/home/23424524,San Francisco MLS,421602418,N,Y,37.7714073,-122.3873904
MLS Listing,,Condo/Co-op,555 Fulton St #307,San Francisco,CA,94102,989000,2,2.0,San Francisco,,,,2,,680,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/555-Fulton-St-94102/unit-307/home/87703349,San Francisco MLS,421585555,N,Y,37.7781581,-122.4261091
